date,metric,BTC,ETH
2024-02-23,etf_net_flow_usd_millions,232.5,0.0
2024-02-24,etf_cumulative_net_flow_usd_millions,5633.3,0.0
2024-02-24,etf_net_flow_usd_millions,0.0,0.0
2024-02-25,etf_cumulative_net_flow_usd_millions,5633.3,0.0
2024-02-25,etf_net_flow_usd_millions,0.0,0.0
2024-02-26,etf_cumulative_net_flow_usd_millions,6153.2,0.0
2024-02-26,etf_net_flow_usd_millions,519.9,0.0
2024-02-27,etf_cumulative_net_flow_usd_millions,6730.1,0.0
2024-02-27,etf_net_flow_usd_millions,576.9,0.0
2024-02-28,etf_cumulative_net_flow_usd_millions,7403.5,0.0
2024-02-28,etf_net_flow_usd_millions,673.4,0.0
2024-02-29,etf_cumulative_net_flow_usd_millions,7495.8,0.0
2024-02-29,etf_net_flow_usd_millions,92.3,0.0
2024-03-01,etf_cumulative_net_flow_usd_millions,7356.2,0.0
2024-03-01,etf_net_flow_usd_millions,-139.6,0.0
2024-03-02,etf_cumulative_net_flow_usd_millions,7356.2,0.0
2024-03-02,etf_net_flow_usd_millions,0.0,0.0
2024-03-03,etf_cumulative_net_flow_usd_millions,7356.2,0.0
2024-03-03,etf_net_flow_usd_millions,0.0,0.0
2024-03-04,etf_cumulative_net_flow_usd_millions,7918.9,0.0
2024-03-04,etf_net_flow_usd_millions,562.7,0.0
2024-03-05,etf_cumulative_net_flow_usd_millions,8567.2,0.0
2024-03-05,etf_net_flow_usd_millions,648.3,0.0
2024-03-06,etf_cumulative_net_flow_usd_millions,8899.2,0.0
2024-03-06,etf_net_flow_usd_millions,332.0,0.0
2024-03-07,etf_cumulative_net_flow_usd_millions,9371.7,0.0
2024-03-07,etf_net_flow_usd_millions,472.5,0.0
2024-03-08,etf_cumulative_net_flow_usd_millions,9594.7,0.0
2024-03-08,etf_net_flow_usd_millions,223.0,0.0
2024-03-09,etf_cumulative_net_flow_usd_millions,9594.7,0.0
2024-03-09,etf_net_flow_usd_millions,0.0,0.0
2024-03-10,etf_cumulative_net_flow_usd_millions,9594.7,0.0
2024-03-10,etf_net_flow_usd_millions,0.0,0.0
2024-03-11,etf_cumulative_net_flow_usd_millions,10100.1,0.0
2024-03-11,etf_net_flow_usd_millions,505.4,0.0
2024-03-12,etf_cumulative_net_flow_usd_millions,11145.1,0.0
2024-03-12,etf_net_flow_usd_millions,1045.0,0.0
2024-03-13,etf_cumulative_net_flow_usd_millions,11828.8,0.0
2024-03-13,etf_net_flow_usd_millions,683.7,0.0
2024-03-14,etf_cumulative_net_flow_usd_millions,11961.5,0.0
2024-03-14,etf_net_flow_usd_millions,132.7,0.0
2024-03-15,etf_cumulative_net_flow_usd_millions,12160.3,0.0
2024-03-15,etf_net_flow_usd_millions,198.8,0.0
2024-03-16,etf_cumulative_net_flow_usd_millions,12160.3,0.0
2024-03-16,etf_net_flow_usd_millions,0.0,0.0
2024-03-17,etf_cumulative_net_flow_usd_millions,12160.3,0.0
2024-03-17,etf_net_flow_usd_millions,0.0,0.0
2024-03-18,etf_cumulative_net_flow_usd_millions,12006.0,0.0
2024-03-18,etf_net_flow_usd_millions,-154.3,0.0
2024-03-19,etf_cumulative_net_flow_usd_millions,11679.8,0.0
2024-03-19,etf_net_flow_usd_millions,-326.2,0.0
2024-03-20,etf_cumulative_net_flow_usd_millions,11418.3,0.0
2024-03-20,etf_net_flow_usd_millions,-261.5,0.0
2024-03-21,etf_cumulative_net_flow_usd_millions,11324.3,0.0
2024-03-21,etf_net_flow_usd_millions,-94.0,0.0
2024-03-22,etf_cumulative_net_flow_usd_millions,11272.7,0.0
2024-03-22,etf_net_flow_usd_millions,-51.6,0.0
2024-03-23,etf_cumulative_net_flow_usd_millions,11272.7,0.0
2024-03-23,etf_net_flow_usd_millions,0.0,0.0
2024-03-24,etf_cumulative_net_flow_usd_millions,11272.7,0.0
2024-03-24,etf_net_flow_usd_millions,0.0,0.0
2024-03-25,etf_cumulative_net_flow_usd_millions,11288.1,0.0
2024-03-25,etf_net_flow_usd_millions,15.4,0.0
2024-03-26,etf_cumulative_net_flow_usd_millions,11706.1,0.0
2024-03-26,etf_net_flow_usd_millions,418.0,0.0
2024-03-27,etf_cumulative_net_flow_usd_millions,11949.6,0.0
2024-03-27,etf_net_flow_usd_millions,243.5,0.0
2024-03-28,etf_cumulative_net_flow_usd_millions,12132.4,0.0
2024-03-28,etf_net_flow_usd_millions,182.8,0.0
2024-03-29,etf_cumulative_net_flow_usd_millions,12132.4,0.0
2024-03-29,etf_net_flow_usd_millions,0.0,0.0
2024-03-30,etf_cumulative_net_flow_usd_millions,12132.4,0.0
2024-03-30,etf_net_flow_usd_millions,0.0,0.0
2024-03-31,etf_cumulative_net_flow_usd_millions,12132.4,0.0
2024-03-31,etf_net_flow_usd_millions,0.0,0.0
2024-04-01,etf_cumulative_net_flow_usd_millions,12046.7,0.0
2024-04-01,etf_net_flow_usd_millions,-85.7,0.0
2024-04-02,etf_cumulative_net_flow_usd_millions,12086.2,0.0
2024-04-02,etf_net_flow_usd_millions,39.5,0.0
2024-04-03,etf_cumulative_net_flow_usd_millions,12199.7,0.0
2024-04-03,etf_net_flow_usd_millions,113.5,0.0
2024-04-04,etf_cumulative_net_flow_usd_millions,12413.1,0.0
2024-04-04,etf_net_flow_usd_millions,213.4,0.0
2024-04-05,etf_cumulative_net_flow_usd_millions,12616.1,0.0
2024-04-05,etf_net_flow_usd_millions,203.0,0.0
2024-04-06,etf_cumulative_net_flow_usd_millions,12616.1,0.0
2024-04-06,etf_net_flow_usd_millions,0.0,0.0
2024-04-07,etf_cumulative_net_flow_usd_millions,12616.1,0.0
2024-04-07,etf_net_flow_usd_millions,0.0,0.0
2024-04-08,etf_cumulative_net_flow_usd_millions,12392.3,0.0
2024-04-08,etf_net_flow_usd_millions,-223.8,0.0
2024-04-09,etf_cumulative_net_flow_usd_millions,12372.9,0.0
2024-04-09,etf_net_flow_usd_millions,-19.4,0.0
2024-04-10,etf_cumulative_net_flow_usd_millions,12496.6,0.0
2024-04-10,etf_net_flow_usd_millions,123.7,0.0
2024-04-11,etf_cumulative_net_flow_usd_millions,12587.9,0.0
2024-04-11,etf_net_flow_usd_millions,91.3,0.0
2024-04-12,etf_cumulative_net_flow_usd_millions,12532.8,0.0
2024-04-12,etf_net_flow_usd_millions,-55.1,0.0
2024-04-13,etf_cumulative_net_flow_usd_millions,12532.8,0.0
2024-04-13,etf_net_flow_usd_millions,0.0,0.0
2024-04-14,etf_cumulative_net_flow_usd_millions,12532.8,0.0
2024-04-14,etf_net_flow_usd_millions,0.0,0.0
2024-04-15,etf_cumulative_net_flow_usd_millions,12496.1,0.0
2024-04-15,etf_net_flow_usd_millions,-36.7,0.0
2024-04-16,etf_cumulative_net_flow_usd_millions,12438.1,0.0
2024-04-16,etf_net_flow_usd_millions,-58.0,0.0
2024-04-17,etf_cumulative_net_flow_usd_millions,12273.1,0.0
