date,metric,ETH,BTC,USDC
2013-10-01,price,,132.0400000000,
2013-10-02,price,,123.0700000000,
2013-10-03,price,,128.2600000000,
2013-10-04,price,,129.5700000000,
2013-10-05,price,,127.5600000000,
2013-10-06,price,,128.3800000000,
2013-10-07,price,,125.7200000000,
2013-10-08,price,,130.9000000000,
2013-10-09,price,,129.6800000000,
2013-10-10,price,,130.2700000000,
2013-10-11,price,,135.3500000000,
2013-10-12,price,,135.4800000000,
2013-10-13,price,,140.4800000000,
2013-10-14,price,,143.8900000000,
2013-10-15,price,,143.6100000000,
2013-10-16,price,,146.1500000000,
2013-10-17,price,,151.3400000000,
2013-10-18,price,,170.5100000000,
2013-10-19,price,,172.0100000000,
2013-10-20,price,,181.4100000000,
2013-10-21,price,,193.4500000000,
2013-10-22,price,,206.7800000000,
2013-10-23,price,,198.8000000000,
2013-10-24,price,,172.4800000000,
2013-10-25,price,,178.9600000000,
2013-10-26,price,,189.8300000000,
2013-10-27,price,,198.5500000000,
2013-10-28,price,,204.3900000000,
2013-10-29,price,,204.2000000000,
2013-10-30,price,,203.8800000000,
2013-10-31,price,,205.2600000000,
2013-11-01,price,,206.8900000000,
2013-11-02,price,,212.4500000000,
2013-11-03,price,,226.2800000000,
2013-11-04,price,,230.6300000000,
2013-11-05,price,,260.8500000000,
2013-11-06,price,,295.6300000000,
2013-11-07,price,,332.0200000000,
2013-11-08,price,,358.0000000000,
2013-11-09,price,,313.0000000000,
2013-11-10,price,,340.5500000000,
2013-11-11,price,,355.4800000000,
2013-11-12,price,,404.1700000000,
2013-11-13,price,,408.8400000000,
2013-11-14,price,,424.1600000000,
2013-11-15,price,,437.4100000000,
2013-11-16,price,,488.3600000000,
2013-11-17,price,,580.8700000000,
2013-11-18,price,,614.4000000000,
2013-11-19,price,,565.3400000000,
2013-11-20,price,,675.0600000000,
2013-11-21,price,,731.1500000000,
2013-11-22,price,,819.3100000000,
2013-11-23,price,,764.4300000000,
2013-11-24,price,,793.0700000000,
2013-11-25,price,,832.9300000000,
2013-11-26,price,,914.1300000000,
2013-11-27,price,,979.0800000000,
2013-11-28,price,,1101.8300000000,
2013-11-29,price,,1127.4500000000,
2013-11-30,price,,1033.3900000000,
2013-12-01,price,,974.0300000000,
2013-12-02,price,,1078.6400000000,
2013-12-03,price,,1121.4800000000,
2013-12-04,price,,989.0400000000,
2013-12-05,price,,1019.6600000000,
2013-12-06,price,,811.9800000000,
2013-12-07,price,,743.1100000000,
2013-12-08,price,,897.8900000000,
2013-12-09,price,,927.7800000000,
2013-12-10,price,,887.0800000000,
2013-12-11,price,,878.1700000000,
2013-12-12,price,,897.2700000000,
2013-12-13,price,,866.9900000000,
2013-12-14,price,,854.6200000000,
2013-12-15,price,,789.1500000000,
2013-12-16,price,,691.6500000000,
2013-12-17,price,,559.3600000000,
2013-12-18,price,,677.8400000000,
2013-12-19,price,,694.2500000000,
2013-12-20,price,,596.1200000000,
2013-12-21,price,,650.2700000000,
2013-12-22,price,,645.7500000000,
2013-12-23,price,,659.9400000000,
2013-12-24,price,,668.7400000000,
2013-12-25,price,,734.5900000000,
2013-12-26,price,,734.2700000000,
2013-12-27,price,,738.8100000000,
2013-12-28,price,,726.4700000000,
2013-12-29,price,,760.5200000000,
2013-12-30,price,,755.1600000000,
2013-12-31,price,,767.7400000000,
2014-01-01,price,,772.5300000000,
2014-01-02,price,,825.4700000000,
2014-01-03,price,,849.1400000000,
2014-01-04,price,,919.4100000000,
2014-01-05,price,,936.3800000000,
2014-01-06,price,,826.5000000000,
2014-01-07,price,,838.3200000000,
2014-01-08,price,,853.2900000000,
2014-01-09,price,,863.3000000000,
2014-01-10,price,,905.7200000000,
2014-01-11,price,,867.4500000000,
2014-01-12,price,,840.9600000000,
2014-01-13,price,,838.0500000000,
2014-01-14,price,,860.4400000000,
2014-01-15,price,,837.9800000000,
2014-01-16,price,,812.9000000000,
2014-01-17,price,,840.0000000000,
2014-01-18,price,,838.1700000000,
2014-01-19,price,,869.1500000000,
2014-01-20,price,,869.5700000000,
2014-01-21,price,,865.0300000000,
2014-01-22,price,,846.9700000000,
2014-01-23,price,,808.3200000000,
2014-01-24,price,,804.3900000000,
2014-01-25,price,,853.5100000000,
2014-01-26,price,,891.8600000000,
2014-01-27,price,,777.0000000000,
2014-01-28,price,,816.8500000000,
2014-01-29,price,,817.1700000000,
2014-01-30,price,,817.9300000000,
2014-01-31,price,,832.5200000000,
2014-02-01,price,,836.4100000000,
2014-02-02,price,,813.3800000000,
2014-02-03,price,,832.3600000000,
2014-02-04,price,,830.9200000000,
2014-02-05,price,,805.0800000000,
2014-02-06,price,,721.3200000000,
2014-02-07,price,,701.6100000000,
2014-02-08,price,,672.0700000000,
2014-02-09,price,,689.6500000000,
2014-02-10,price,,697.7600000000,
2014-02-11,price,,655.2600000000,
2014-02-12,price,,651.9100000000,
2014-02-13,price,,623.5700000000,
2014-02-14,price,,644.1000000000,
2014-02-15,price,,613.8500000000,
2014-02-16,price,,645.1400000000,
2014-02-17,price,,625.0100000000,
2014-02-18,price,,620.9900000000,
2014-02-19,price,,593.8900000000,
2014-02-20,price,,582.7500000000,
2014-02-21,price,,571.0600000000,
2014-02-22,price,,622.9700000000,
2014-02-23,price,,572.3900000000,
2014-02-24,price,,489.3100000000,
2014-02-25,price,,567.2500000000,
2014-02-26,price,,586.2800000000,
2014-02-27,price,,567.2000000000,
2014-02-28,price,,560.1100000000,
2014-03-01,price,,561.3500000000,
2014-03-02,price,,585.7900000000,
2014-03-03,price,,675.0000000000,
2014-03-04,price,,658.2400000000,
2014-03-05,price,,654.5500000000,
2014-03-06,price,,617.6200000000,
2014-03-07,price,,610.3700000000,
2014-03-08,price,,636.1700000000,
2014-03-09,price,,621.1700000000,
2014-03-10,price,,624.2300000000,
2014-03-11,price,,638.0700000000,
2014-03-12,price,,639.0300000000,
2014-03-13,price,,629.6700000000,
2014-03-14,price,,638.0700000000,
2014-03-15,price,,629.5500000000,
2014-03-16,price,,623.7050000000,
2014-03-17,price,,612.6220000000,
2014-03-18,price,,610.6360000000,
2014-03-19,price,,592.0700000000,
2014-03-20,price,,582.3030000000,
2014-03-21,price,,561.2200000000,
2014-03-22,price,,567.7790000000,
2014-03-23,price,,571.4180000000,
2014-03-24,price,,582.5500000000,
2014-03-25,price,,584.4420000000,
2014-03-26,price,,567.6400000000,
2014-03-27,price,,503.6610000000,
2014-03-28,price,,502.3020000000,
2014-03-29,price,,469.9380000000,
2014-03-30,price,,457.3990000000,
2014-03-31,price,,478.7163000000,
2014-04-01,price,,437.5150000000,
2014-04-02,price,,447.0822000000,
2014-04-03,price,,448.8792000000,
2014-04-04,price,,464.8259000000,
2014-04-05,price,,460.7028000000,
2014-04-06,price,,457.7920000000,
2014-04-07,price,,450.4638000000,
2014-04-08,price,,440.1983000000,
2014-04-09,price,,360.8407000000,
2014-04-10,price,,420.0563000000,
2014-04-11,price,,420.6600000000,
2014-04-12,price,,414.9495000000,
2014-04-13,price,,457.6338000000,
2014-04-14,price,,520.1233000000,
2014-04-15,price,,529.1625000000,
